card_id;cardName;category_id;categoryName;user_id
1;Клипы (короткие видео);1;menu;11bfp224li7aojyk
2;Музыка;2;tapBar;11bfp224li7aojyk
3;Видео;3;hub;11bfp224li7aojyk
4;Сообщества;3;hub;11bfp224li7aojyk
5;Мессенджер;2;tapBar;11bfp224li7aojyk
6;Закладки;3;hub;11bfp224li7aojyk
7;Файлы;3;hub;11bfp224li7aojyk
8;VK Pay;3;hub;11bfp224li7aojyk
9;Настройки;3;hub;11bfp224li7aojyk
10;Управление VK ID;3;hub;11bfp224li7aojyk
11;Друзья;1;menu;11bfp224li7aojyk
12;Игры (категории игр);3;hub;11bfp224li7aojyk
13;Стикеры (каталог стикеров);3;hub;11bfp224li7aojyk
14;Звонки;1;menu;11bfp224li7aojyk
15;VK NFT;3;hub;11bfp224li7aojyk
16;Реклама;3;hub;11bfp224li7aojyk
17;Почта;3;hub;11bfp224li7aojyk
18;Трансляции;1;menu;11bfp224li7aojyk
19;Мини-программа;1;menu;11bfp224li7aojyk
20;Сервисы;2;tapBar;11bfp224li7aojyk
21;Главная (лента новостей);2;tapBar;11bfp224li7aojyk
22;Мой профиль;1;menu;11bfp224li7aojyk
1;Клипы (короткие видео);3;hub;11bfp224li7ash2x
2;Музыка;2;tapBar;11bfp224li7ash2x
3;Видео;3;hub;11bfp224li7ash2x
4;Сообщества;2;tapBar;11bfp224li7ash2x
5;Мессенджер;2;tapBar;11bfp224li7ash2x
6;Закладки;2;tapBar;11bfp224li7ash2x
7;Файлы;1;menu;11bfp224li7ash2x
8;VK Pay;1;menu;11bfp224li7ash2x
9;Настройки;1;menu;11bfp224li7ash2x
10;Управление VK ID;3;hub;11bfp224li7ash2x
11;Друзья;2;tapBar;11bfp224li7ash2x
12;Игры (категории игр);3;hub;11bfp224li7ash2x
13;Стикеры (каталог стикеров);1;menu;11bfp224li7ash2x
14;Звонки;2;tapBar;11bfp224li7ash2x
15;VK NFT;3;hub;11bfp224li7ash2x
16;Реклама;3;hub;11bfp224li7ash2x
17;Почта;3;hub;11bfp224li7ash2x
18;Трансляции;1;menu;11bfp224li7ash2x
19;Мини-программа;1;menu;11bfp224li7ash2x
20;Сервисы;1;menu;11bfp224li7ash2x
21;Главная (лента новостей);2;tapBar;11bfp224li7ash2x
22;Мой профиль;1;menu;11bfp224li7ash2x
1;Клипы (короткие видео);3;hub;18dkyh24li95zu6f
2;Музыка;2;tapBar;18dkyh24li95zu6f
3;Видео;3;hub;18dkyh24li95zu6f
4;Сообщества;2;tapBar;18dkyh24li95zu6f
5;Мессенджер;2;tapBar;18dkyh24li95zu6f
6;Закладки;1;menu;18dkyh24li95zu6f
7;Файлы;1;menu;18dkyh24li95zu6f
8;VK Pay;1;menu;18dkyh24li95zu6f
9;Настройки;1;menu;18dkyh24li95zu6f
10;Управление VK ID;3;hub;18dkyh24li95zu6f
11;Друзья;3;hub;18dkyh24li95zu6f
12;Игры (категории игр);3;hub;18dkyh24li95zu6f
13;Стикеры (каталог стикеров);3;hub;18dkyh24li95zu6f
14;Звонки;3;hub;18dkyh24li95zu6f
15;VK NFT;3;hub;18dkyh24li95zu6f
16;Реклама;3;hub;18dkyh24li95zu6f
17;Почта;3;hub;18dkyh24li95zu6f
18;Трансляции;3;hub;18dkyh24li95zu6f
19;Мини-программа;3;hub;18dkyh24li95zu6f
20;Сервисы;1;menu;18dkyh24li95zu6f
21;Главная (лента новостей);2;tapBar;18dkyh24li95zu6f
22;Мой профиль;2;tapBar;18dkyh24li95zu6f
1;Клипы (короткие видео);2;tapBar;18dkyh24li9ckvrm
2;Музыка;3;hub;18dkyh24li9ckvrm
3;Видео;3;hub;18dkyh24li9ckvrm
4;Сообщества;3;hub;18dkyh24li9ckvrm
5;Мессенджер;2;tapBar;18dkyh24li9ckvrm
6;Закладки;1;menu;18dkyh24li9ckvrm
7;Файлы;1;menu;18dkyh24li9ckvrm
8;VK Pay;1;menu;18dkyh24li9ckvrm
9;Настройки;1;menu;18dkyh24li9ckvrm
10;Управление VK ID;1;menu;18dkyh24li9ckvrm
11;Друзья;3;hub;18dkyh24li9ckvrm
12;Игры (категории игр);3;hub;18dkyh24li9ckvrm
13;Стикеры (каталог стикеров);3;hub;18dkyh24li9ckvrm
14;Звонки;3;hub;18dkyh24li9ckvrm
15;VK NFT;1;menu;18dkyh24li9ckvrm
16;Реклама;2;tapBar;18dkyh24li9ckvrm
17;Почта;3;hub;18dkyh24li9ckvrm
18;Трансляции;3;hub;18dkyh24li9ckvrm
19;Мини-программа;3;hub;18dkyh24li9ckvrm
20;Сервисы;2;tapBar;18dkyh24li9ckvrm
21;Главная (лента новостей);2;tapBar;18dkyh24li9ckvrm
22;Мой профиль;3;hub;18dkyh24li9ckvrm
1;Клипы (короткие видео);3;hub;1der24li5yrm4d
2;Музыка;3;hub;1der24li5yrm4d
3;Видео;2;tapBar;1der24li5yrm4d
4;Сообщества;3;hub;1der24li5yrm4d
